Dedicante,Testo Dedica,Inventario,BID,Collocazione,Descrizione,Latitude,Longitude,Citta dell'autore,Note,Città di Scritta Dedica,Data,Link,n Record
"Beltrametti, Franco",9-2-1990 a Elio Pagliarani questo bel libro a quattro con amicizia Franco Beltrametti,4197,UBO1861544,RISERVATI ARTE.BELTRAMETTI 1989(A) ,"A *gang of 4 : Franco Beltrametti, Julien Blaine, James Koller, Tom Raworth. - Brunswick (Maine) : Coyotes Journal, c1989",45.9008° N,8.9708° E,Riva San Vitale (Svizzera),,,9 febbraio 1990,,
"Beltrametti, Franco",9-2-90 A Elio Pagliarani con stima e simpatia da Franco Beltrametti Riva San Vitale,5187,UBO1862181,RISERVATI POESIA.BELTRAMETTI 1990(A) ,"*Niente da / Franco Beltrametti. - Milano : Corpo 10, [1990?]. - 97 p. ; 22 cm",45.9008° N,8.9708° E,Riva San Vitale (Svizzera),,Riva San Vitale (Svizzera),9 febbraio 1990,https://drive.google.com/file/d/1VtSHa8jmsN9Uhmofv44FU_vVYSGXW-GO/view?usp=sharing,
"Bemporad, Giovanna","A Elio nel ricordo degli incontri lontanissimi, quasi irreali, della nostra appassionata adolescenza, grondante di poesia ... con affetto Giovanna Roma 3 dicembre 1980",562,RAV0092519,RISERVATI POESIA.BEMPORAD 1980(A) ,"*Esercizi : poesie e traduzioni / Giovanna Bemporad. - Milano : Garzanti, 1980. - 181 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,Roma,3 dicembre 1980,https://drive.google.com/file/d/1-s2BtuNntHJ2gf1_Lr6axAY_65rBBhlU/view?usp=sharing,
"Bemporad, Giovanna ","A Cetta e Elio sperando che in loro si rinnovi (per mio tramite! ...) il meraviglioso incontro con la poesia di Omero. affettuosamente Giovanna Roma, 27 febbraio 2001",5763,VIA0030992 ,RISERVATI.POESIA.OMERO.1992(A),"*Odissea / Omero ; nella versione poetica di Giovanna Bemporad tutti i canti, per intero o a frammenti ; introduzione di Maurizio Perugi. - Firenze : Le Lettere, 1992",41.9028° N,12.4964° E,Roma,Dedica del trad. Giovanna Bemporad,Roma,27 febbraio 2001,https://drive.google.com/file/d/1oMyaeN7Yc_PYA4I3w63_cNlUrLIczp5K/view?usp=sharing,
"Bernari, Carlo",A Elio Pagliari con  vera amicizia Carlo Bernari Milano Maggio' 64,5715,SBL0274119,RISERVATI.NARRATIVA.BERNARI.1964(A),"*Era l'anno del sole quieto / Carlo Bernari. - Milano : A. Mondadori, 1964. - 276 p. ; 19 cm",45.4642° N,9.1900° E,Milano,,Milano,maggio 1964,https://drive.google.com/file/d/1xnL1O6tCnToDwY_jLWw_wxuGFMnXa_DR/view?usp=sharing,
"Berti Sabbietti, Rosa",A Elio Pagliarani la mia alta stima con la speranza di recensione. Rosa Berti Sabbietti,5127,CFI0214535,RISERVATI POESIA.BERTI/SABBIETTI 1992(A) ,"I *passi del tempo / Rosa Berti Sabbieti ; prefazione di Vittoriano Esposito. - Spinea : Edizioni del Leone, \1992!. - 44 p. ; 20 cm",43.1357° N,13.0683° E,CAMERINO (provincia di MACERATA),,,,,
"Bertolucci, Attilio","A Elio Pagliarani, con la stima, l'amore per la sua poesia di sempre Attilio Bertolucci",533,CFI0050933,RISERVATI POESIA.BERTOLUCCI 1984(A) ,"La *camera da letto / Attilio Bertolucci. - Milano : Garzanti, 1984. - 254 p. ; 21 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/14BQaQnigYywVCAQhatNEwLPSjXAhF9We/view?usp=sharing,
"Bertolucci, Attilio","Roma, novembre 1988 A Elio Pagliarani, al poeta sempre vivo e nuovo il suo Attilio Bertolucci",742,RAV0034147,RISERVATI POESIA.BERTOLUCCI 1988(A) ,"La *camera da letto : libro secondo / Attilio Bertolucci. - Milano : Garzanti,  1988. - 138 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,Roma,novembre 1988,https://drive.google.com/file/d/1Lw3K_ocasxlZ4HgGwUqZu50IaJ_Xgc1z/view?usp=sharing,
"Bertolucci, Attilio","A Elio Pagliarani, al poeta all'amico il suo Attilio Bertolucci Roma, 27-2-91",2269,RAV0210584,RISERVATI POESIA.BERTOLUCCI 1991(A) ,"*Al fuoco calmo dei giorni : poesie, 1929-1990 / Attilio Bertolucci ; a cura di Paolo Lagazzi. - Milano : Biblioteca universale Rizzoli, 1991. - 333 p. ; 18 cm",41.9028° N,12.4964° E,Roma,,Roma,27 febbraio 1991,https://drive.google.com/file/d/1-H9n9MYi8IAVoNuiI8kGDKaT3RgdkLcI/view?usp=sharing,
"Bertolucci, Attilio","A Elio Pagliarani dal poeta, all'amico il suo Attilio Bertolucci Roma, maggio 1993",2418,RAV0220108,RISERVATI POESIA.BERTOLUCCI 1993(A) ,"*Verso le sorgenti del Cinghio / Attilio Bertolucci. - Milano : Garzanti, 1993. - 97 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,Roma,maggio 1993,https://drive.google.com/file/d/197F7eScGly4R8gLtWOXipGgoFTN5IyGm/view?usp=sharing,
