Dedicante,Testo Dedica,Inventario,BID,Collocazione,Descrizione,Latitude,Longitude,Citta dell'autore,Note,Città di Scritta Dedica,Data,Link,n Record
"Manganelli, Giorgio",Al caro Elio un amico saluto da Giorgio,1733,IEI0025499,RISERVATI NARRATIVA.MANGANELLI 1977(A) ,"*Pinocchio : un libro parallelo / Giorgio Manganelli. - Torino : Einaudi, 1977. - VI, 172 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1byznTwctahTdMKxgZjC5rBW8twhvTASm/view?usp=sharing,
"Manganelli, Giorgio","A Elio, ed ad Elia [i.e.: Cetta Petrollo] ciao da Giorgio agosto 77",1794,TO00036045 ,RISERVATI TEATRO.MANGANELLI 1977(A) ,"*Cassio governa a Cipro / Giorgio Manganelli. - Milano : Rizzoli, 1977. - 97 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,,agosto 1977,https://drive.google.com/file/d/1dotcr4QDh4cm0Ri9vL5zgnjrsFJ47aYF/view?usp=sharing,
"MANGANELLI, Giorgio",A Elio un saluto affettuoso da Giorgio marzo '79,1823,SBL0240470,RISERVATI NARRATIVA.MANGANELLI 1979(A) ,"*Centuria : cento piccoli Romanzi fiume / Giorgio Manganelli. - Milano : Rizzoli, 1979. - 206 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,,marzo 1979,https://drive.google.com/file/d/1h-KZtIGaX__FniEbzdjkJgdIIBwe3czv/view?usp=sharing,
"Manganelli, Giorgio",All'amico Paglia con amicizia dall'amico Manga,1825,TO00036031,RISERVATI NARRATIVA.MANGANELLI 1976(A) ,"*Sconclusione / Giorgio Manganelli. - Milano : Rizzoli, 1976. - 142 p. ; 23 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1--ARKQLqfbVtolb-j8W6iCfSbIm0yuNw/view?usp=sharing,
"Manganelli, Giorgio",Ciao Elio risplendi [!] sul tuo Manganelli,3674,CFI0015152,RISERVATI SAGGISTICA.MANGANELLI 1986(A) ,"*Laboriose inezie / Giorgio Manganelli. - Milano : Garzanti, 1986. - 314 p. ; 21 cm ((Già pubbl. in periodici vari.",41.9028° N,12.4964° E,Roma,,,,,
"Manganelli, Giorgio",A Elio Pagliarani con l'ammirata amicizia di sempre Giorgio Manga,3720,RAV0082678,RISERVATI NARRATIVA.MANGANELLI 1981bis(A) ,"*Amore / Giorgio Manganelli. - Milano : Rizzoli, 1981. - 118 p. ; 23 cm",41.9028° N,12.4964° E,Roma,,,,,
"Manganelli, Giorgio",via Elio fare non è negazione Giorgio,3721,CFI0112018,RISERVATI NARRATIVA.MANGANELLI 1987(A) ,"*Rumori o voci / Giorgio Manganelli. - Milano : Rizzoli, 1987. - 144 p. ; 23 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1gA0O7Udzg3FJ1Tf65Zry7_bhl8YjhyX1/view?usp=sharing,
"Manganelli, Giorgio",Al caro Elio un saluto affettuoso del Giorgio,3722,RAV0080453,RISERVATI NARRATIVA.MANGANELLI 1982(A) ,"*Discorso dell'ombra e dello stemma, o, del lettore e dello scrittore considerati come dementi / Giorgio Manganelli. - Milano : Rizzoli, 1982. - 167 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1Sr9Bls1Kz4luq54z1MSYbLHBUx0xyypS/view?usp=sharing,
"Manganelli, Giorgio",A Elio con canti scoperti,3723,CFI0015460,RISERVATI NARRATIVA.MANGANELLI 1986(A) ,"*Tutti gli errori / Giorgio Manganelli. - Milano : Rizzoli, 1986. - 134 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1IH_HQw8v4WWhER4Un5Br4S9J5Upo4b81/view?usp=sharing,
"Manganelli, Giorgio",A Elio con ammirazione e amicizia Giorgio,3724,RAV0088264,RISERVATI NARRATIVA.MANGANELLI 1975(A) ,"*A e B / Giorgio Manganelli. - Milano : Rizzoli, 1975. - 185 p. ; 23 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1jexQNbHsZbRXvnAeg9dBOUaV-yVIt_-Z/view?usp=sharing,
"Manganelli, Giorgio",dal Manga al Paglia ...,3725,CFI0205805,RISERVATI NARRATIVA.MANGANELLI 1989(A) ,"*Antologia privata / Giorgio Manganelli. - Milano : Rizzoli, 1989. - 237 p. ; 23 cm ((Scritti già pubbl.",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1sMajx7V9emnXWLXpbzjJvcTyCoz6O3iu/view?usp=sharing,
"Manganelli, Giorgio",All'amico Paglia con amicizia dall'amico Manga,1825,TO00036031,RISERVATI.NARRATIVA.MANGANELLI.1976(A),"*Sconclusione / Giorgio Manganelli. - Milano : Rizzoli, 1976. - 142 p. ; 23 cm",41.9028° N,12.4964° E,Roma,,,,,
"Manitta, Giuseppe",Al prof. Pagliarani con sincera stima e ammirazione Giuseppe Manitta,4318,PAL0247078,RISERVATI POESIA.MANITTA 2011(A) ,"L'*ultimo canto dell'upupa : poemetto crepuscolare / Giuseppe Manitta ; premessa di Giorgio Barberi. - Castiglione di Sicilia : Il Convivio, 2011",41.9598° N,12.8022° E,Tivoli,,,,,
"Manitta, Giuseppe",Al dott. Pagliarani con sincera stima Giuseppe Manitta,5060,TO01275831,RISERVATI POESIA.MANITTA 2003(A) ,"*Sentieri d'assoluto : poema-racconto / Giuseppe Manitta. - Castiglione di Sicilia : Accademia Internazionale Il Convivio, 2003. - 79 p. ; 21 cm",41.9598° N,12.8022° E,Tivoli,,,,https://drive.google.com/file/d/12wR6iWiHIY_RnCtcaCHgJp97QYwxmrnY/view?usp=sharing,
"Manzi, Gianluca",Per Elio Pagliarani Gianluca Manzi (segue altra firma manoscritta: Pietro Fortuna),5185,URB0445713,RISERVATI POESIA.MANZI 1986(A) ,"La *maison adoptive / Gianluca Manzi ; présentée par Jean-Charles Vegliante ; dessins de Pietro Fort. - Paris : Galerie Montenay-Delsol ; Milano : Studio Guenzani, stampa 1986",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1jIgtPDEnS8O3aDq6wd5H0IWOonz2iaW5/view?usp=sharing,
"Maraini, Dacia",Un caro saluto da Dacia Maraini,4748,IEI0622580,RISERVATI.NARRATIVA.MARAINI.2001(A),"*Buio / Dacia Maraini. - Milano : Rizzoli, 2001. - 219 p. ; 18 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1uC46RwuSth0jmpdBcdpJs4XPwXn4MZzc/view?usp=sharing,
"Marcoaldi, Franco",A Elio Pagliarani Franco Marcoaldi,4658,VIA0064113,RISERVATI POESIA.MARCOALDI 1997(A) ,"*Amore non amore / Franco Marcoaldi. - Milano : Bompiani, 1997. - 72 p. ; 17 cm",42.4375° N,11.1941° E,Laguna di Orbettello,,,,https://drive.google.com/file/d/1FKeKueCwkRyoM4S0IotywvxXk3Bdi-n0/view?usp=sharing,
"Marniti, Biagia","A Elio Pagliarani e Cetta Petrollo, il ricordo e l'augurio di Biagia Marniti",5052,CFI0039136,RISERVATI POESIA.MARNITI 1984(A) ,"La *ballata del mare e altre poesie / di Biagia Marniti. - Riccia : Premio Michele Cima, 1983 (Roma : Lito service, 1984)",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1oai2kybsu5nf8beGTr1oaYZUzXJJbdTj/view?usp=sharing,
"Marniti, Biagia","A Cetta e Elio Pagliarani, grata del ricordo, la mia cordiale attenzione Biagia Marniti Roma, 10.6.'88",5056,USM1789462,RISERVATI POESIA.MARNITI 1988(A) ,"Un *suono cosmico / Biagia Marniti . - Pisa : C. Cursi & F., stampa 1988. - 1 pieghevole : ill. ; 15 cm ((Ed. di 500 esempl. + Disegni di Orso Bugiani",41.9028° N,12.4964° E,Roma,,Roma,10 giugno 1988,https://drive.google.com/file/d/1VAke5jI4vSbONb2yRtVQkJYJ16AeBuCO/view?usp=sharing,
"Marotta, Francesco","Al Prof. Elio Pagliarani
la cui opera rappresenta un insostituibile momento di riflessione e un costante termine di paragone per chiunque voglia impostare un rapporto duraturo con la scrittura poetica.
Con affetto e profonda stima Francesco Marotta",4751,LO10083597,RISERVATI POESIA.MAROTTA 1991 ,"Il *verbo dei silenzi / Francesco Marotta. - [Spinea] : Edizioni del Leone, c 1991. - 69 p. ; 20 cm",45.4642 N,9.1900 E,Milano,,,,https://drive.google.com/file/d/1fDKoBAeyxItf7eG5Yd-tblnn3iCU3ONB/view?usp=sharing,
"Mascioni, Grytzko","A Elio Pagliarani, un suo fedele e antico lettore, con il saluto più cordiale Grytzko Mascioni 1990",3668,BVE0005363,RISERVATI NARRATIVA.MASCIONI 1990(A) ,"La *notte di Apollo / Grytzko Mascioni. - Milano : Rusconi, 1990. - 302 p., [16] c. di tav. : ill. ; 22 cm",46.2004° N,10.1308° E,Villa di Tirano ,,,1990,https://drive.google.com/file/d/1Q_cEWMG1QXUoKkqemMG6sGDC6lMO_Db-/view?usp=sharing,
"Masino, Paola","A Cetta e a Elio Pagliarani con affettuosa amicizia la vecchia, fuori uso Paola Roma 16-11-82",1838,SBL0612845,RISERVATI NARRATIVA.MASINO 1982(A) ,"*Nascita e morte della massaia : Romanzo / Paola Masino. - Milano : La tartaruga, 1982. - 282 p. ; 20 cm .",41.9028° N,12.4964° E,Roma,,Roma,16 novembre 1982,https://drive.google.com/file/d/1V2bJwqlT7JH1xfFFuYZrDlMwIBrE6hOz/view?usp=sharing,
"Masino, Paola","A Cetta e a Elio Pagliarani con affettuosa amicizia la vecchia, fuori uso Paola Roma 16-11-82",1838,SBL0612845 ,RISERVATI.NARRATIVA.MASINO.1982(A),"*Nascita e morte della massaia : Romanzo / Paola Masino. - Milano : La tartaruga, 1982. - 282 p. ; 20 cm",41.9028° N,12.4964° E,Roma,,Roma,16 novembre 1982,,
"Massari, Nino",Ciao Elio 1) perchè sei stato il primo a pubblicare 2) perchè poeta 3) perchè mio amico. Nino,772,UBO1326978,RISERVATI POESIA.MASSARI 1971(A) ,"*Carmina priapea / la traduzione e l'introduzione ai Carmina sono di Nino Massari ; mentre la nota c. - [Roma] : Arcana, stampa 1971",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1IFq8NPwoZl1j3X8rdHgkamHIo-bCWNW5/view?usp=sharing,
"Mauri, Paolo",A Cetta e Elio Pagliarani con affetto Paolo,3700,MOD1389808,RISERVATI SAGGISTICA.MAURI 2007(A) ,"*Buio / Paolo Mauri. - Torino : Einaudi, [2007]. - 118 p. ; 18 cm",41.9028° N,12.4964° E,Roma,,,,,
"Menechella, Grazia","Madison 25 dicembre 2003 Ad Elio e Cetta, con amicizia e nostalgia Graziella",5094,RAV0821407,RISERVATI SAGGISTICA.MENECHELLA 2002(A) ,"Il *felice vanverare : ironia e parodia nell'opera narrativa di Giorgio Manganelli / Grazia Menechella. - Ravenna : Longo, \2002!. - 258 p. : ill. ; 24 cm",43.0766° N,89.4125° W,"Madison, Wisconsin",,Madison,25 dicembre 2003,,
"Meyer, Camargo",A Elio Pagliarani  ofereço cordialmente Camargo Meyer 68,860,UBO1490274,RISERVATI POESIA.MEYER 1964(A) ,"*Cartilha : (1959-1963) / Camargo Meyer. - [Sâo Paulo?] : Massao Ohono, 1964. - 72 p. ; 22 cm",15.7975° S,47.8919° W,"Brasilia, Brasile",,,1968,,
"Miccini, Eugenio","10-3-59 All'""Avanti!"" con simpatia Eugenio Miccini Firenze Via della Scala 53",5137,SBL0501525,RISERVATI POESIA.MICCINI 1959(A) ,"*Senza più verità / Eugenio Miccini. - Bologna : L. Leonardi, stampa 1959. - 55 p. ; 22 cm",43.7696° N,11.2558° E,Firenze,,Firenze,10 marzo 1959,https://drive.google.com/file/d/1kCiCv9eDhR2IItgMQML8tna1O7Tct-Jv/view?usp=sharing,
"Milanoi, Milena",A Elio Pagliarani con viva cordialità milena Milanoi Milano 8 febbraio 1976,3717,SBL0578501,RISERVATI NARRATIVA.MilanoI 1976(A) ,"*Soltanto amore : Romanzo / Milena Milanoi. - Milano : Rusconi, 1976. - 212 p. ; 21 cm",45.4642° N,9.1900° E,Milano,,Milano,8 febbraio 1976,https://drive.google.com/file/d/1YfC0FdUGM2LH6Fbf4mQf_IhI0PJV1Bh3/view?usp=sharing,
"Mincu, Marin",Al poeta Elio Pagliarani con stima e amicizia Marin Mincu,4958,CFI0016220,RISERVATI POESIA.MINCU 1986(A) ,"*In agguato / Marin Mincu ; a cura e con una glossa di Alfredo Giuliani ; con una nota di Mario Luzi. - Milano : All'insegna del pesce d'oro, 1986",43.7696° N,11.2558° E,Firenze,,,,https://drive.google.com/file/d/1bgSuxxsTHoGTDVK4sWUY3wnHHVQ6q0v8/view?usp=sharing,
"Minore, Renato",A Elio caramente Renato,2365,BVE0007686,RISERVATI SAGGISTICA.MINORE 1991(A) ,"*Rimbaud / Renato Minore. - Milano : A. Mondadori, 1991. - 207 p., \4! c. di tav. : ill. ; 23 cm",41.9028° N,12.4964° E,Roma,,,,,
"Mitzù Ruffini, Maddalena",Al poeta Elio Pagliarani mio maestro fuorilegge! Mitzù,5508,BVE0241624,RISERVATI POESIA.MITZU.RUFFINI 2001(A) ,"Il *mondo di Peo : quaranta poesie sugli animali / Maddalena Mitzù Ruffini. - Roma : Palombi, \2001!. - 91 p. : ill. ; 23 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1MIsrqae74n4fn0B1-atcTKcBeRPeMNcb/view?usp=sharing,
"Mura, Stefano","""Casa"" Pagliarani un grande grazie a Petrus Il Mura Roma",3539, 	LIG0291808,RISERVATI POESIA.MURA 2018(A) ,"L'*ordine alfabetico / Stefano Mura. - Genova : Zona, 2018. - 113, [4] p. ; 20 cm",41.9028° N,12.4964° E,Roma,,Roma,,,
"Musa, Gilda",A Elio Pagliarani con amicizia Gilda Musa  1964,4746,SBL0418488,RISERVATI POESIA.MUSA 1964(A) ,"Gli *onori della cronaca : 1961-1962 / Gilda Musa ; prefazione di Giorgio Bàrberi Squarotti. - Caltanissetta ; Roma : S. Sciascia, 1964. - 63 p. ; 17 cm",41.9028° N,12.4964° E,Roma,,,1964,https://drive.google.com/file/d/197VQvpSClriEd-nSHt8fo2nY_sezNKij/view?usp=sharing,
"Niccolai, Giulia",A Elio 25 anni dopo Giulia,606,UBO2137925,RISERVATI ARTE.NICCOLAI 1974(A) ,"*Poema & oggetto / Giulia Niccolai ; [introduzione di Milli Graffi]. - Torino : Geiger, 1974. - 15 p., [23] carte di tav. : ill. ; 23 cm ((Edizione di 400 esemplari numerati. - Testo anche in inglese",44.8015° N,10.3279° E,Parma,,,,,
"Nove, Aldo","A Elio, con gratitudine e affetto Aldo 9.  23-03-03",3731,LO10749564,RISERVATI POESIA.NOVE 2003(A) ,"*Fuoco su Babilonia| : poesie 1984-1996 / Aldo Nove ; a cura di Gemma Gaetani ; introduzione di Elio Pagliarani. - Milano : Crocetti, °2003!. - 147 p. ; 21 cm",45.4642° N,9.1900° E,Milano,,,23 marzo 2003,https://drive.google.com/file/d/12ltSYN5G5KQhyN4MezrcLTqKDFAkPOUQ/view?usp=sharing,
"Nove, Aldo","A Elio, con gratitudine e affetto Aldo 9.  23-03-03",5454,LO10749564,RISERVATI POESIA.NOVE 2003(A)bis ,"*Fuoco su Babilonia| : poesie 1984-1996 / Aldo Nove ; a cura di Gemma Gaetani ; introduzione di Elio Pagliarani. - Milano : Crocetti, °2003!. - 147 p. ; 21 cm",45.4642° N,9.1900° E,Milano,,,23 marzo 2003,https://drive.google.com/file/d/1EUN3dn78Xyu0SdAnSUO4X6BB1OsEChXv/view?usp=sharing,
"Ombres, Rossana",Per Elio caramente Rossana 5-6- '68,671,RAV0052023,RISERVATI POESIA.OMBRES 1968(A) ,"L'*ipotesi di Agar / Rossana Ombres. - Torino : Einaudi, [1968]. - 92 p. ; 18 cm",45.0703° N,7.6869° E,Torino,,,5 giugno 1968,https://drive.google.com/file/d/1ylDKHET6qbctdyeQdS3SPnlDBc4I0BkY/view?usp=sharing,
"Ombres, Rossana","A Elio, poeta e amico Rossana",1694,LIA0226656,RISERVATI NARRATIVA.OMBRES 1980(A) ,"*Serenata : Romanzo / Rossana Ombres. - Milano : A. Mondadori, 1980. - 143 p. ; 21 cm",45.0703° N,7.6869° E,Torino,,,,https://drive.google.com/file/d/1URHYpHCC4dBSGMU3sJWhhv96oOQ_HKC8/view?usp=sharing,
"Ombres, Rossana",A Elio Pagliarani da Rossana Ombres ott. 1962,5271,SBL0042948,RISERVATI POESIA.OMBRES 1962(A) ,"Le *ciminiere di Casale / Rossana Ombres. - Milano : Feltrinelli, 1962. - 122 p. ; 21 cm",45.0703° N,7.6869° E,Torino,,,ottobre 1962,https://drive.google.com/file/d/18JYC_vfBpYhvaWGlZSjhPSA8556Ps5ju/view?usp=sharing,
"Ortesta, Cosimo",A Elio Pagliarani con molta stima e simpatia Cosimo Ortesta Roma 27 luglio 1989,4776,CFI0181357,RISERVATI POESIA.ORTESTA 1988(A) ,"*Nel progetto di un freddo perenne / Cosimo Ortesta. - Torino : G. Einaudi, 1988. - 72 p. ; 18 cm",41.9028° N,12.4964° E,Roma,,Roma,27 luglio 1989,https://drive.google.com/file/d/19dBPP6ynkWk-PKaQmlHsVBOUwp2TcFEQ/view?usp=sharing,
"Oster, Pierre",Pour Elio Pagliarani en hommage Pierre Oster,5498,UTO1062392,RISERVATI POESIA.OSTER 1964(A) ,"La *grande annee : poemes, 1959-1962 / Pierre Oster. - Paris : Gallimard, [1964]. - 110 p. ; 21 cm",48.8566° N,2.3522° E,Paris,,,,,
"Ottiero, Ottieri",A Elio Pagliarani con la stima di Ottiero Ottieri,3695,MOD0038187,RISERVATI.NARRATIVA.OTTIERI.1979(A),"*Di chi e la colpa / Ottiero Ottieri. - Milano : Bompiani, 1979. - 165 p. ; 21 cm",45.4642° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/18N5lZzSqCeDI6TYsLo7QyyK0H9DvkdiM/view?usp=sharing,
"Ottonieri, Tommaso","""a Elio e Cetta un caro abbraccio da Tommaso * *(poi ""Dal vivo"" la dedica sulla copia!)""",3175,RMB0660459,RISERVATI NARRATIVA.OTTONIERI 2007bis ,"Le *strade che portano al Fùcino / Tommaso Ottonieri ; prefazione di Enrico Ghezzi ; guida alla lett. - Firenze : Le Lettere, 2007",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1XihvMHt9Zu2-coeswWACnR2gKsgRq3NP/view?usp=sharing,
"Ottonieri, Tommaso",a Elio flussi ancora da un mio tempo amniolico un grosso abbraccio da Tommaso.,3499,UBO2770225,RISERVATI POESIA.OTTONIERI 2003 (A) ,"*Coro da l'acqua per voce sola / Tommaso Ottonieri. - Napoli, d'if, [2003]. - 47 p. ; 17 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1f0tooiqvKvo19hRkKxfPbMw3D3yrP9u7/view?usp=sharing,
"Ottonieri, Tommaso","a Elio e Cetta e Lia Rosa, ancora da un jukebox commerciale ancora più schizzato (e mai lontanamente degno della grande balera riminese) con affetto Tommaso",3605,CFI0483513,RISERVATI NARRATIVA.OTTONIERI 2000 (A) ,"L'*album Crèmisi / Tommaso Ottonieri. - Roma : Empirìa, \2000!. - 118 p. ; 21 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/10lNgOG33v7LjmxaSIU2NiDiOEgjRNCK9/view?usp=sharing,
"Ottonieri, Tommaso","A Elio e a Cetta, e Lia Rosa, questi contatti (ed. omaggi in mancette) con grande affetto Tommaso",3941,BVE0296637,RISERVATI POESIA.OTTONIERI 2002(A) ,"*Contatto / Tommaso Ottonieri. - Napoli : Cronopio, \2002!. - 126 p. ; 19 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1pDKTuaqrHsl8piDH2W8QX8Lv09-EB0dW/view?usp=sharing,
"Ottonieri, Tommaso","A Elio al cui Rudi (e Nandi, e ...) avrei davvero dovuto dedicare questo libro, con affetto Tommaso",5132,FER0169535,RISERVATI POESIA.OTTONIERI 1998(A) ,"*Elegia sanremese / Tommaso Ottonieri ; prefazione di Manlio Sgalambro ; con undici tavole di Pablo Echaurren. - Milano : Bompiani, 1998. - V, 85 p. : ill. ; 16 x 16 cm + 1 compact disc.",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1h77ACC6hfC4Jp-MbMxVp-AMj6oXkfJcm/view?usp=sharing,
"Ottonieri, Tommaso","A Elio Pagliarani che ritroverà qui il suo Rudi, da qualche parte, con vera stima e affetto Tommaso Ottonieri",3607,VEA0094775,RISERVATI.NARRATIVA.OTTONIERI.1997(A),"*Crema acida / Tommaso Ottonieri. - \Milano! : Lupetti ; Lecce : P. Manni, \1997!. - 177 p. ; 20 cm.",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/16aGX7bOo547GXJoygqN67Fb4LfqWL_hM/view?usp=sharing,
"Pagliarani, Elio ",Stefano sei dei miei Signori o negli anarchici che ammiro da sempre! Elio,5477,LO10367625 ,RISERVATI.POESIA.PAGLIARANI.1995(A),"La *ballata di Rudi / Elio Pagliarani. - Venezia : Marsilio, 1995",41.9028° N,12.4964° E,Roma,,,,,
"Pagliarani, Elio ","Ad Alberto Asor Rosa che non ho ringraziato almeno in proporzione per il suo fondamentale saggio sul mio lavoro. Questi versi mondani in attesa dell' ""ultimo paradosso"" il suo Elio Pagliarani Roma maggio '85",5478,CFI023284 ,RISERVATI.POESIA.PAGLIARANI.1975(A),"*Esercizi platonici / di Elio Pagliarani ; con dodici disegni di Ettore Sordini. - Palermo : Acquario-La Nuova Guanda, [1985]",41.9028° N,12.4964° E,Roma,,Roma,maggio 1985,https://drive.google.com/file/d/10X2THYHFVkA75qhe3-FtUa80SADpLYoU/view?usp=sharing,
"Pagliarani, Elio ",A Lamberto Pignotti con viva cordialità in cambio del suo fermento Elio Pagliarani Milano 8 febbraio '59,4109,SBL0506895 ,RISERVATI.POESIA.PAGLIARANI.1959(A),"*Inventario privato / Elio Pagliarani ; prefazione di Giacomo Zanga ; disegni di Alberto Casarotti. - Milano : Veronelli, stampa 1959",45.4642° N,9.1900° E,Milano,,Milano,8 febbraio 1959,https://drive.google.com/file/d/1wLtaItcyJp0JKRIFRIvX9DJ__88MxAfx/view?usp=sharing,
"Palazzi, Roberto",per Elio Pagliarani dal suo Roberto Palazzi,5140,LO11125021,RISERVATI SAGGISTICA.PALAZZI 1992(A) ,"*Note azzurre ""Blue notes"" / Carlo Dossi ; [a cura di] Roberto Palazzi. - [S.l.] : Il Topo, stampa 1992 (Sainte-Savine : Covam). - [12] p. : ill. ; 23 cm ((Ed. f.c. di 100 esempl. num.",41.9028° N,12.4964° E,Roma,,,,,
"Palladini, Marco",A Elio Pagliarani con ammirazione Marco Palladini  Aprile '95,4743,VIA0396595,RISERVATI POESIA.PALLADINI 1995 ,"*Ovunque a novunque / Marco Palladini ; [prefazione di Gaetano Delli Santi]. - Udine : Campanotto, 1995. - 124 p. ; 19 cm",41.9028° N,12.4964° E,Roma,,,aprile 1995,https://drive.google.com/file/d/1CuXf_jW5CkNicW4g6IhwieJwEBoUXqQ4/view?usp=sharing,
"Panaccione, Annarosa",A Elio Pagliarani per la sua concentrata e svagata cortesia Annarosa Panaccione Roma 10.4.63,4787,SBL0142007,RISERVATI POESIA.PANACCIONE 1963(A) ,"Il *garofano spagnolo. - Roma : Ediz. Babuino, [1963?]. - 81 p. ; 21 cm ",41.9028° N,12.4964° E,Roma,,Roma,10 aprile 1963,https://drive.google.com/file/d/18rvYMnN_JNMGlLEOfKl5Nc3LDdayRljk/view?usp=sharing,
"Papa, Marco",A Concetta ed Elio Pagliarani con affetto e stima Marco luglio 1986,5427,RML0073375,RISERVATI POESIA.PAPA 1986(A) ,"Le *birre sonnambule / Marco Papa. - Reggio Emilia : Aelia Laelia, ©1986. - 139 p. ; 17 cm",45.4642° N,9.1900° E,Milano,,,luglio 1986,https://drive.google.com/file/d/1Cxm9eIyl4fKILGBLD2lSrZ4h3CSs0q4d/view?usp=sharing,
"Papa, Marco ",Ad Elio e Cetta Pagliarani con affetto e stima Marco Papa giugno '89,3653,CFI0193743 ,RISERVATI.NARRATIVA.PAPA/CAPACCIO.1989(A),"La *guerra / Marco Papa, Antonio Capaccio. - Roma : Empiria, stampa 1989",45.4642° N,9.1900° E,Milano,,,giugno 1989,https://drive.google.com/file/d/1oq-zDkYhpM8Z4Tq9tAFLfZKJV8vz6XEE/view?usp=sharing,
"Papa,Marco ",A Elio e Concetta un caro saluto Marco marzo 2004,5530,BVE0384597 ,RISERVATI.POESIA.PAPA.2004(A),"*Chiesto ancora / Marco Papa. - Roma : Empirìa, ©2003 (stampa 2004)",45.4642° N,9.1900° E,Milano,,,marzo 2004,https://drive.google.com/file/d/151HHgXnrDU-4LdqAziAopv5Qx1cajlj3/view?usp=sharing,
"Pasolini, Pierpaolo",A Elio Pagliarani affettuosamente Pier Paolo Pasolini.,2247, 	SBL0131954,RISERVATI SAGGISTICA.PASOLINI 1960(A) ,"*Passione e ideologia : (1948-1958) / Pier Paolo Pasolini. - Milano : Garzanti, ©1960. - 495 p. ; 22 cm ((Raccolta di saggi già pubblicati in varie riviste",44.4949° N,11.3426° E,Bologna,,,,https://drive.google.com/file/d/1OMbK555T0rO8OUTE1QXGLSZTCjjP0U57/view?usp=sharing,
"Pecora, Elio",A Elio e Cetta dal loro amico Elio gennaio '98,5267,RML0067349,RISERVATI POESIA.PECORA 1997(A) ,"*Poesie : 1975-1995 / Elio Pecora. - Roma : Empiria, [1997]. - 273 p. : 1 ritr.  ; 21 cm",44.3713° N,9.8816° E,"Pontremoli, Tuscany",,,gennaio 1998,https://drive.google.com/file/d/1fAj-n3J9hnv2vkFovuMeMIgCCBTcW0ej/view?usp=sharing,
"Penna, Sandro","Roma, 3 giugno '70 A Elio Pagliarani, poeta senza aggettivi, il suo Sandro Penna",644,SBL0365904,RISERVATI POESIA.PENNA 1970(A) ,"*Tutte le poesie / Sandro Penna. - Milano : Garzanti, 1970. - 364 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,Roma,3 giugno 1970,https://drive.google.com/file/d/1UE0R3ceHTpFTUf8oLKl3jTc2JoTGMzq6/view?usp=sharing,
"Perilli, Plinio","Ad Elio Pagliarani e alla sua cara Cetta, un abbraccio e poesia: qui prega il mio cuore. Con tanto affetto il loro Plinio Roma, 3 novembre '94",3689,CFI0283537,RISERVATI.POESIA.PERILLI.1994(A),"*Preghiere d'un laico (1980-1993) / Plinio Perilli. - Cittadella : Amadeus, stampa 1994. - 199 p. ; 20 cm",41.9028° N,12.4964° E,Roma,,Roma,novembre 1994,https://drive.google.com/file/d/1m98JnxCQN7CQWUzNaE5vaNArcco7Yuri/view?usp=sharing,
"Petrova, Alexandra","Ad Elio, le cose pirotecniche dalla ragazza Sasha con a,  9.12.2005  Roma",2486,LIG0022213,RISERVATI POESIA.PETROVA 2005 LIG0022213,"*Altri fuochi / Alexandra Petrova ; traduzione di Pietro Alessandrini. - Milano : Crocetti, [2005]. - 140 p. ; 20 cm ((Testo orig. a fronte.",41.9028° N,12.4964° E,Roma,,Roma,9 dicembre 2005,https://drive.google.com/file/d/1hK1Ui7Ub93uCZSOvgefqpDfTt8bzWQdZ/view?usp=sharing,
"Piccioli, Gian Luigi","A Elio, cordialmente con amicizia e stima Gian Luigi Roma 12-5-79",4779,UPG0012383,RISERVATI NARRATIVA.PICCIOLI 1979(A) ,"*Sveva : Romanzo / Gian Luigi Piccioli. - Milano : Rusconi, 1979. - 324 p. ; 22 cm",45.4642° N,9.1900° E,Milano,,Roma,12 maggio 1979,https://drive.google.com/file/d/1C--grasKEBO-UXgrzclHyjyfCXHhmQ6h/view?usp=sharing,
